ID|Product|Weight|Unit|43610|43951|43952|43953|43954|43956|43957|43958|43959|43960|43961|43962|43963|43966|43967|43968|43969|43970|43972|43973|43974|43975|43976|43977|43978|Total
111|Spicy Cracker - MAR-30|.075|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
32|Cheese Puff - MAR-30|.1|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
126|Cheesebits - MAY-3|.17|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
46|Orange Cream|.1|50|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|3|
21|Goold Marie - FEB-24|.08|60|0|0|0|12|0|50|0|0|30|0|0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|98|
22|Chocolate Cream - FEB-24|.1|50|12|0|0|0|12|0|6|0|0|0|12|0|6|0|0|0|50|6|100|12|0|0|0|0|0|216|
23|Cream Cracker - FEB-24|.125|48|0|0|0|0|0|0|0|12|0|0|15|0|0|6|0|0|12|3|48|0|0|0|0|0|2|98|
24|Cream Cracker - FEB-24|.19|40|0|0|0|6|0|0|0|0|0|0|20|0|6|6|0|0|0|3|40|0|6|0|0|0|0|87|
25|Cream Cracker - FEB-24|.33|8|0|0|0|0|0|0|0|4|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|
26|Cream Cracker - FEB-24|.5|8|0|0|0|0|0|0|0|4|0|0|40|4|4|0|3|0|8|0|240|0|4|0|0|0|0|307|
27|Lemon puff - FEB-24|.1|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
28|Lemon Puff - FEB-24|.2|30|0|0|0|6|0|0|0|6|0|0|0|0|6|0|3|0|0|0|0|0|6|0|0|0|0|27|
29|Mango Puff - FEB-24|.1|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
30|Mango Puff - FEB-24|.2|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
112|Cheese Puff - FEB-24|.2|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
31|Cheese Puff - FEB-24|.1|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
33|Sorties - FEB-24|.065|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
34|Njce - FEB-24|.1|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
35|Hawaiian Cookies - FEB-24|.1|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
36|Hawaiian Cookies - FEB-24|.2|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
38|Bran Cracker - FEB-24|.21|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|6|
39|Cheesebits - FEB-24|.08|25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|25|0|0|0|0|0|0|25|
40|Cheesebits - FEB-24|.17|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
42|Krisco - FEB-24|.17|15|6|0|0|3|0|0|0|3|3|6|6|3|3|6|0|0|6|0|0|0|0|3|15|0|0|63|
43|Kisco - FEB-24|.215|10|0|0|0|0|0|0|2|0|0|6|6|3|3|6|0|0|6|0|10|0|0|3|10|0|0|55|
59|Classsique  B Assortme - MAR-31|.5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
58|Orenge Cream - MAR-31|.5|4|0|4|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|
75|Nice 2kg - FEB-27|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
